SamAccountName,Surname,GivenName,Initials,DisplayName,Department,Parent,Password
VRT,Virgina,Tegarden,R,Virgina R. Tegarden,5,"OU=Systems,OU=IT,DC=X",Pa$$w0rd
VSZ,Vincenza,Zepp,S,Vincenza S. Zepp,6,"OU=Marketing,OU=Sales,DC=X",Pa$$w0rd
VTG,Valentine,Gillian,T,Valentine T. Gillian,4,"OU=Support,OU=IT,DC=X",Pa$$w0rd
VTK,Valentin,Klimek,T,Valentin T. Klimek,3,"OU=Development,OU=IT,DC=X",Pa$$w0rd
VWK,Virgie,Kiel,W,Virgie W. Kiel,8,"OU=PreSalesSupport,OU=Sales,DC=X",Pa$$w0rd
VWR,Vi,Rentfro,W,Vi W. Rentfro,4,"OU=Support,OU=IT,DC=X",Pa$$w0rd
VXB,Viola,Bitsuie,X,Viola X. Bitsuie,2,"OU=Payroll,OU=Finance,DC=X",Pa$$w0rd
VXM,Venita,Maillard,X,Venita X. Maillard,3,"OU=Development,OU=IT,DC=X",Pa$$w0rd
VXT,Viva,Toelkes,X,Viva X. Toelkes,2,"OU=Payroll,OU=Finance,DC=X",Pa$$w0rd
VZM,Vallie,Mondella,Z,Vallie Z. Mondella,8,"OU=PreSalesSupport,OU=Sales,DC=X",Pa$$w0rd
WBK,Willard,Kolmetz,B,Willard B. Kolmetz,4,"OU=Support,OU=IT,DC=X",Pa$$w0rd
WLD,Wynell,Dorshorst,L,Wynell L. Dorshorst,1,"OU=Accounting,OU=Finance,DC=X",Pa$$w0rd
WOA,Weldon,Acuff,O,Weldon O. Acuff,3,"OU=Development,OU=IT,DC=X",Pa$$w0rd
WRK,Willodean,Konopacki,R,Willodean R. Konopacki,5,"OU=Systems,OU=IT,DC=X",Pa$$w0rd
WTB,Winfred,Brucato,T,Winfred T. Brucato,4,"OU=Support,OU=IT,DC=X",Pa$$w0rd
WTG,Wilda,Giguere,T,Wilda T. Giguere,2,"OU=Payroll,OU=Finance,DC=X",Pa$$w0rd
WWK,Willow,Kusko,W,Willow W. Kusko,8,"OU=PreSalesSupport,OU=Sales,DC=X",Pa$$w0rd
WYT,Whitley,Tomasulo,Y,Whitley Y. Tomasulo,6,"OU=Marketing,OU=Sales,DC=X",Pa$$w0rd
XID,Xochitl,Discipio,I,Xochitl I. Discipio,5,"OU=Systems,OU=IT,DC=X",Pa$$w0rd
XNR,Xuan,Rochin,N,Xuan N. Rochin,4,"OU=Support,OU=IT,DC=X",Pa$$w0rd
YFW,Yuki,Whobrey,F,Yuki F. Whobrey,3,"OU=Development,OU=IT,DC=X",Pa$$w0rd
YML,Yolando,Luczki,M,Yolando M. Luczki,5,"OU=Systems,OU=IT,DC=X",Pa$$w0rd
YNF,Yoko,Fishburne,N,Yoko N. Fishburne,1,"OU=Accounting,OU=Finance,DC=X",Pa$$w0rd
YNS,Youlanda,Schemmer,N,Youlanda N. Schemmer,3,"OU=Development,OU=IT,DC=X",Pa$$w0rd
YTT,Yvonne,Tjepkema,T,Yvonne T. Tjepkema,3,"OU=Development,OU=IT,DC=X",Pa$$w0rd
ZYC,Zona,Colla,Y,Zona Y. Colla,1,"OU=Accounting,OU=Finance,DC=X",Pa$$w0rd
